# Weather station Albury (airport), Australia, WMO_ID=95896,selection from 01.01.2018 till 30.06.2019, all days
# Encoding: UTF-8
# The data is provided by the website "Reliable Prognosis", rp5.ru
# If you use the data, please indicate the name of the website.
# For meteorological parameters see the address http://rp5.ru/archive.php?wmo_id=95896&lang=en
#
"Local time in Albury (airport)";"T";"Po";"P";"Pa";"U";"DD";"Ff";"ff10";"ff3";"N";"WW";"W1";"W2";"Tn";"Tx";"Cl";"Nh";"H";"Cm";"Ch";"VV";"Td";"RRR";"tR";"E";"Tg";"E'";"sss"
"28.06.2019 20:00";"9.6";"754.9";"770.0";"0.3";"90";"Wind blowing from the south-east";"2";"";"";"";" ";"";"";"";"";"";"";"";"";"";"";"8.0";"";"";"";"";"";"";
"28.06.2019 18:00";"12.9";"754.8";"769.9";"-0.3";"78";"Wind blowing from the south-southeast";"2";"";"";"100%.";" ";"";"";"";"";"";"";"1500-2000";"";"";"";"9.2";"";"";"";"";"";"";
"28.06.2019 17:00";"13.7";"754.6";"769.6";"-1.0";"71";"Calm, no wind";"0";"";"";"";" ";"";"";"";"";"";"";"";"";"";"";"8.5";"";"";"";"";"";"";
"28.06.2019 15:00";"16.2";"755.1";"770.2";"-2.4";"62";"Wind blowing from the south-east";"2";"";"";"";" ";"";"";"";"";"";"";"";"";"";"";"8.9";"No precipitation";"6";"";"";"";"";
"28.06.2019 14:00";"15.4";"755.6";"770.8";"-2.9";"63";"Wind blowing from the east-southeast";"3";"";"";"";" ";"";"";"";"";"";"";"";"";"";"";"8.4";"";"";"";"";"";"";
"28.06.2019 12:00";"12.8";"757.5";"772.6";"-1.7";"70";"Wind blowing from the east";"2";"";"";"";" ";"";"";"0.3";"";"";"";"";"";"";"";"7.5";"";"";"";"";"";"";
"28.06.2019 11:00";"10.7";"758.5";"773.6";"-0.6";"77";"Wind blowing from the east";"2";"";"";"";" ";"";"";"";"";"";"";"";"";"";"";"6.8";"";"";"";"";"";"";
"28.06.2019 09:00";"6.5";"759.2";"774.4";"0.7";"93";"Wind blowing from the north-east";"1";"";"";"";" ";"";"";"";"";"";"";"";"";"";"";"5.5";"0.2";"24";"";"";"";"";
"28.06.2019 08:00";"1.2";"759.1";"774.2";"0.5";"96";"Wind blowing from the north";"1";"";"";"";" ";"";"";"";"";"";"";"";"";"";"";"0.6";"";"";"";"";"";"";
"28.06.2019 06:00";"0.9";"758.5";"773.6";"-0.3";"95";"Calm, no wind";"0";"";"";"";" ";"";"";"";"";"";"";"";"";"";"1.0";"0.2";"";"";"";"";"";"";
"28.06.2019 05:00";"1.5";"758.6";"773.8";"-0.3";"96";"Calm, no wind";"0";"";"";"";" ";"";"";"";"";"";"";"";"";"";"";"0.9";"";"";"";"";"";"";
"28.06.2019 03:00";"2.1";"758.8";"773.9";"-0.3";"96";"Calm, no wind";"0";"";"";"";" ";"";"";"";"";"";"";"";"";"";"9.0";"1.5";"No precipitation";"6";"";"";"";"";
"28.06.2019 02:00";"2.0";"758.9";"774.1";"-0.4";"95";"Wind blowing from the north";"1";"";"";"";" ";"";"";"";"";"";"";"";"";"";"";"1.3";"";"";"";"";"";"";
"28.06.2019 00:00";"3.4";"759.1";"774.2";"-0.4";"95";"Calm, no wind";"0";"";"";"";" ";"";"";"";"15.2";"";"";"";"";"";"";"2.7";"";"";"";"";"";"";
"27.06.2019 23:00";"4.0";"759.3";"774.4";"0.1";"94";"Calm, no wind";"0";"";"";"";" ";"";"";"";"";"";"";"";"";"";"";"3.1";"";"";"";"";"";"";
"27.06.2019 21:00";"5.0";"759.5";"774.7";"1.0";"95";"Wind blowing from the north-northwest";"2";"";"";"";" ";"";"";"";"";"";"";"";"";"";"";"4.3";"No precipitation";"6";"";"";"";"";
"27.06.2019 20:00";"5.6";"759.2";"774.4";"1.0";"92";"Calm, no wind";"0";"";"";"";" ";"";"";"";"";"";"";"";"";"";"";"4.4";"";"";"";"";"";"";
"27.06.2019 18:00";"8.2";"758.5";"773.7";"0.0";"80";"Calm, no wind";"0";"";"";"";" ";"";"";"";"";"";"";"";"";"";"";"5.0";"";"";"";"";"";"";
"27.06.2019 17:00";"12.0";"758.2";"773.3";"-0.9";"68";"Wind blowing from the east";"2";"";"";"";" ";"";"";"";"";"";"";"";"";"";"";"6.3";"";"";"";"";"";"";
"27.06.2019 15:00";"14.6";"758.5";"773.6";"-2.1";"62";"Wind blowing from the east-southeast";"3";"";"";"";" ";"Precipitation";"Precipitation";"";"";"";"";"";"";"";"";"7.4";"0.2";"6";"";"";"";"";
"27.06.2019 14:00";"13.9";"759.1";"774.2";"-2.5";"62";"Wind blowing from the east";"2";"";"";"";" ";"";"";"";"";"";"";"";"";"";"";"6.7";"";"";"";"";"";"";
"27.06.2019 12:00";"12.1";"760.6";"775.9";"-1.4";"69";"Wind blowing from the east";"2";"";"";"";" ";"";"";"";"";"";"";"";"";"";"";"6.6";"";"";"";"";"";"";
"27.06.2019 11:00";"10.1";"761.6";"776.8";"-0.3";"74";"Wind blowing from the east";"2";"";"";"";" ";"";"";"";"";"";"";"";"";"";"";"5.7";"";"";"";"";"";"";
"27.06.2019 09:00";"5.6";"762.0";"777.2";"0.8";"91";"Wind blowing from the north-northeast";"2";"";"";"";" ";"";"";"";"";"";"";"";"";"";"";"4.2";"";"";"";"";"";"";
"27.06.2019 08:00";"0.7";"761.9";"777.1";"0.7";"95";"Calm, no wind";"0";"";"";"";" ";"";"";"";"";"";"";"";"";"";"";"0.0";"";"";"";"";"";"";
"27.06.2019 06:00";"0.1";"761.2";"776.5";"-0.1";"95";"Calm, no wind";"0";"";"";"";" ";"";"";"";"";"";"";"";"";"";"";"-0.6";"";"";"";"";"";"";
"27.06.2019 05:00";"0.4";"761.2";"776.4";"-0.2";"95";"Calm, no wind";"0";"";"";"";" ";"";"";"";"";"";"";"";"";"";"";"-0.3";"";"";"";"";"";"";
"27.06.2019 03:00";"0.8";"761.3";"776.5";"0.1";"94";"Wind blowing from the north";"1";"";"";"";" ";"";"";"";"";"";"";"";"";"";"";"-0.1";"No precipitation";"6";"";"";"";"";
"27.06.2019 02:00";"1.4";"761.4";"776.6";"0.2";"94";"Wind blowing from the north";"2";"";"";"";" ";"";"";"";"";"";"";"";"";"";"";"0.5";"";"";"";"";"";"";
"27.06.2019 00:00";"2.3";"761.2";"776.4";"0.3";"93";"Wind blowing from the north";"1";"";"";"";" ";"";"";"";"";"";"";"";"";"";"";"1.3";"";"";"";"";"";"";
"26.06.2019 23:00";"2.9";"761.2";"776.4";"0.5";"93";"Calm, no wind";"0";"";"";"";" ";"";"";"";"";"";"";"";"";"";"";"1.9";"";"";"";"";"";"";
"26.06.2019 21:00";"4.0";"760.9";"776.1";"0.6";"89";"Calm, no wind";"0";"";"";"";" ";"";"";"";"";"";"";"";"";"";"";"2.4";"No precipitation";"6";"";"";"";"";
"26.06.2019 20:00";"5.3";"760.7";"775.9";"0.6";"90";"Calm, no wind";"0";"";"";"";" ";"";"";"";"";"";"";"";"";"";"";"3.8";"";"";"";"";"";"";
"26.06.2019 18:00";"7.6";"760.3";"775.5";"-0.1";"79";"Calm, no wind";"0";"";"";"";" ";"";"";"";"";"";"";"";"";"";"";"4.2";"";"";"";"";"";"";
"26.06.2019 17:00";"12.2";"760.1";"775.3";"-0.7";"65";"Wind blowing from the east-northeast";"2";"";"";"";" ";"";"";"";"";"";"";"";"";"";"";"5.8";"";"";"";"";"";"";
"26.06.2019 15:00";"14.3";"760.4";"775.6";"";"60";"Wind blowing from the south-east";"2";"";"";"";" ";"";"";"";"";"";"";"";"";"";"";"6.6";"";"";"";"";"";"";
"26.06.2019 14:00";"13.7";"760.8";"776.0";"";"58";"Wind blowing from the south-southeast";"1";"";"";"";" ";"";"";"";"";"";"";"";"";"";"";"5.6";"";"";"";"";"";"";
"26.06.2019 06:00";"0.6";"761.9";"777.1";"0.3";"94";"Wind blowing from the north-northwest";"1";"";"";"";" ";"";"";"";"";"";"";"";"";"";"";"-0.3";"";"";"";"";"";"";
"26.06.2019 05:00";"1.1";"761.6";"776.8";"0.1";"94";"Wind blowing from the east";"2";"";"";"";" ";"";"";"";"";"";"";"";"";"";"";"0.2";"";"";"";"";"";"";
"26.06.2019 03:00";"0.2";"761.6";"776.8";"0.3";"92";"Wind blowing from the north";"2";"";"";"";" ";"";"";"";"";"";"";"";"";"";"";"-0.9";"No precipitation";"6";"";"";"";"";
"26.06.2019 02:00";"1.4";"761.5";"776.8";"0.0";"94";"Wind blowing from the north-northwest";"1";"";"";"";" ";"";"";"";"";"";"";"";"";"";"";"0.5";"";"";"";"";"";"";
"26.06.2019 00:00";"2.2";"761.3";"776.5";"0.2";"92";"Wind blowing from the north-northwest";"2";"";"";"";" ";"";"";"";"15.4";"";"";"";"";"";"";"1.0";"";"";"";"";"";"";
"25.06.2019 23:00";"3.1";"761.5";"776.8";"0.8";"91";"Calm, no wind";"0";"";"";"";" ";"";"";"";"";"";"";"";"";"";"";"1.8";"";"";"";"";"";"";
"25.06.2019 21:00";"4.1";"761.1";"776.3";"0.8";"88";"Calm, no wind";"0";"";"";"";" ";"";"";"";"";"";"";"";"";"";"";"2.3";"No precipitation";"6";"";"";"";"";
"25.06.2019 20:00";"4.1";"760.7";"775.9";"0.7";"89";"Calm, no wind";"0";"";"";"";" ";"";"";"";"";"";"";"";"";"";"";"2.5";"";"";"";"";"";"";
"25.06.2019 18:00";"8.8";"760.3";"775.5";"0.4";"78";"Calm, no wind";"0";"";"";"";" ";"";"";"";"";"";"";"";"";"";"";"5.2";"";"";"";"";"";"";
"25.06.2019 17:00";"11.0";"760.0";"775.3";"0.0";"66";"Calm, no wind";"0";"";"";"";" ";"";"";"";"";"";"";"";"";"";"";"4.9";"";"";"";"";"";"";
"25.06.2019 15:00";"14.7";"759.9";"775.1";"-1.0";"49";"Wind blowing from the south";"1";"";"";"";" ";"";"";"";"";"";"";"";"";"";"";"4.1";"No precipitation";"6";"";"";"";"";
"25.06.2019 14:00";"13.6";"760.0";"775.2";"-1.6";"54";"Wind blowing from the south-east";"2";"";"";"";" ";"";"";"";"";"";"";"";"";"";"";"4.5";"";"";"";"";"";"";
"25.06.2019 12:00";"10.8";"760.9";"776.2";"-0.7";"59";"Wind blowing from the south-east";"2";"";"";"";" ";"";"";"-1.2";"";"";"";"";"";"";"";"3.1";"";"";"";"";"";"";
"25.06.2019 11:00";"9.6";"761.6";"776.8";"0.1";"66";"Calm, no wind";"0";"";"";"";" ";"";"";"";"";"";"";"";"";"";"";"3.6";"";"";"";"";"";"";
"25.06.2019 09:00";"4.5";"761.6";"776.8";"0.5";"84";"Calm, no wind";"0";"";"";"";" ";"";"";"";"";"";"";"";"";"";"";"2.0";"0.2";"24";"";"";"";"";
"25.06.2019 08:00";"-0.6";"761.5";"776.7";"0.9";"93";"Wind blowing from the north";"1";"";"";"";" ";"";"";"";"";"";"";"";"";"";"";"-1.6";"";"";"";"";"";"";
"25.06.2019 06:00";"0.1";"761.1";"776.3";"0.5";"94";"Wind blowing from the west";"1";"";"";"";" ";"";"";"";"";"";"";"";"";"";"";"-0.7";"";"";"";"";"";"";
"25.06.2019 05:00";"-0.4";"760.6";"775.9";"0.0";"92";"Wind blowing from the north";"1";"";"";"";" ";"";"";"";"";"";"";"";"";"";"";"-1.5";"";"";"";"";"";"";
"25.06.2019 03:00";"0.2";"760.6";"775.9";"-0.4";"94";"Wind blowing from the north-west";"1";"";"";"";" ";"";"";"";"";"";"";"";"";"";"";"-0.6";"No precipitation";"6";"";"";"";"";
"25.06.2019 02:00";"-0.2";"760.6";"775.8";"-0.4";"93";"Wind blowing from the north-northwest";"2";"";"";"";" ";"";"";"";"";"";"";"";"";"";"";"-1.2";"";"";"";"";"";"";
"25.06.2019 00:00";"0.4";"761.0";"776.2";"0.5";"92";"Wind blowing from the north-northeast";"1";"";"";"";" ";"";"";"";"14.1";"";"";"";"";"";"";"-0.7";"";"";"";"";"";"";
"24.06.2019 23:00";"0.9";"761.0";"776.2";"0.7";"92";"Wind blowing from the north-northwest";"1";"";"";"";" ";"";"";"";"";"";"";"";"";"";"";"-0.2";"";"";"";"";"";"";
"24.06.2019 21:00";"2.7";"760.5";"775.7";"1.1";"89";"Calm, no wind";"0";"";"";"";" ";"";"";"";"";"";"";"";"";"";"";"1.1";"No precipitation";"6";"";"";"";"";
"24.06.2019 20:00";"3.1";"760.3";"775.6";"1.4";"88";"Calm, no wind";"0";"";"";"";" ";"";"";"";"";"";"";"";"";"";"";"1.3";"";"";"";"";"";"";
"24.06.2019 18:00";"7.8";"759.4";"774.6";"0.7";"76";"Calm, no wind";"0";"";"";"";" ";"";"";"";"";"";"";"";"";"";"";"3.7";"";"";"";"";"";"";
"24.06.2019 17:00";"11.0";"758.9";"774.1";"0.4";"61";"Calm, no wind";"0";"";"";"";" ";"";"";"";"";"";"";"";"";"";"";"3.8";"";"";"";"";"";"";
"24.06.2019 15:00";"13.5";"758.7";"773.8";"-1.0";"55";"Wind blowing from the south-east";"1";"";"";"";" ";"Precipitation";"Precipitation";"";"";"";"";"";"";"";"";"4.6";"0.2";"6";"";"";"";"";
"24.06.2019 14:00";"12.7";"758.5";"773.7";"-2.1";"57";"Wind blowing from the south-east";"2";"";"";"";" ";"";"";"";"";"";"";"";"";"";"";"4.2";"";"";"";"";"";"";
"24.06.2019 12:00";"10.6";"759.7";"775.0";"-1.1";"62";"Wind blowing from the east";"2";"";"";"";" ";"";"";"-2.3";"";"";"";"";"";"";"";"3.6";"";"";"";"";"";"";
"24.06.2019 11:00";"9.0";"760.6";"775.8";"0.0";"67";"Wind blowing from the north-east";"1";"";"";"";" ";"";"";"";"";"";"";"";"";"";"";"3.2";"";"";"";"";"";"";
"24.06.2019 09:00";"3.1";"760.8";"776.0";"1.4";"80";"Calm, no wind";"0";"";"";"";" ";"";"";"";"";"";"";"";"";"";"";"0.0";"No precipitation";"24";"";"";"";"";
"24.06.2019 08:00";"-0.2";"760.6";"775.9";"1.1";"91";"Wind blowing from the north-northwest";"2";"";"";"";" ";"";"";"";"";"";"";"";"";"";"";"-1.5";"";"";"";"";"";"";
"24.06.2019 06:00";"-1.7";"759.4";"774.7";"0.3";"90";"Wind blowing from the north";"2";"";"";"";" ";"";"";"";"";"";"";"";"";"";"";"-3.1";"";"";"";"";"";"";
"24.06.2019 05:00";"-0.9";"759.5";"774.7";"0.4";"92";"Wind blowing from the west";"2";"";"";"";" ";"";"";"";"";"";"";"";"";"";"";"-2.0";"";"";"";"";"";"";
"24.06.2019 03:00";"0.2";"759.1";"774.3";"0.2";"90";"Wind blowing from the north";"1";"";"";"";" ";"";"";"";"";"";"";"";"";"";"";"-1.2";"No precipitation";"6";"";"";"";"";
"24.06.2019 02:00";"0.5";"759.1";"774.2";"0.6";"90";"Wind blowing from the north";"1";"";"";"";" ";"";"";"";"";"";"";"";"";"";"";"-0.9";"";"";"";"";"";"";
"24.06.2019 00:00";"1.3";"758.9";"774.1";"0.8";"88";"Wind blowing from the north-northwest";"2";"";"";"";" ";"";"";"";"13.4";"";"";"";"";"";"";"-0.5";"";"";"";"";"";"";
"23.06.2019 23:00";"2.3";"758.5";"773.7";"0.7";"87";"Wind blowing from the west-northwest";"2";"";"";"";" ";"";"";"";"";"";"";"";"";"";"";"0.4";"";"";"";"";"";"";
"23.06.2019 21:00";"3.1";"758.1";"773.2";"1.1";"84";"Wind blowing from the south";"2";"";"";"";" ";"";"";"";"";"";"";"";"";"";"";"0.7";"No precipitation";"6";"";"";"";"";
"23.06.2019 20:00";"4.6";"757.8";"772.9";"1.2";"82";"Calm, no wind";"0";"";"";"";" ";"";"";"";"";"";"";"";"";"";"";"1.8";"";"";"";"";"";"";
"23.06.2019 18:00";"7.2";"757.0";"772.2";"0.6";"70";"Calm, no wind";"0";"";"";"";" ";"";"";"";"";"";"";"";"";"";"";"2.1";"";"";"";"";"";"";
"23.06.2019 17:00";"11.2";"756.6";"771.7";"0.4";"55";"Wind blowing from the south";"2";"";"";"";" ";"";"";"";"";"";"";"";"";"";"";"2.5";"";"";"";"";"";"";
"23.06.2019 15:00";"13.2";"756.4";"771.5";"-0.8";"49";"Wind blowing from the south";"3";"";"";"";" ";"";"";"";"";"";"";"";"";"";"";"2.7";"No precipitation";"6";"";"";"";"";
"23.06.2019 14:00";"12.9";"756.2";"771.4";"-1.7";"52";"Wind blowing from the south";"4";"";"";"";" ";"";"";"";"";"";"";"";"";"";"";"3.3";"";"";"";"";"";"";
"23.06.2019 12:00";"11.3";"757.2";"772.3";"-0.7";"60";"Wind blowing from the south-east";"1";"";"";"";" ";"";"";"-1.9";"";"";"";"";"";"";"";"3.8";"";"";"";"";"";"";
"23.06.2019 11:00";"9.2";"757.9";"773.0";"0.3";"63";"Calm, no wind";"0";"";"";"";" ";"";"";"";"";"";"";"";"";"";"";"2.5";"";"";"";"";"";"";
"23.06.2019 09:00";"3.9";"757.9";"773.1";"1.1";"85";"Wind blowing from the north-east";"1";"";"";"";" ";"";"";"";"";"";"";"";"";"";"";"1.6";"No precipitation";"24";"";"";"";"";
"23.06.2019 08:00";"-1.1";"757.6";"772.7";"1.0";"93";"Calm, no wind";"0";"";"";"";" ";"";"";"";"";"";"";"";"";"";"";"-2.1";"";"";"";"";"";"";
"23.06.2019 06:00";"-1.1";"756.8";"772.0";"0.3";"92";"Calm, no wind";"0";"";"";"";" ";"";"";"";"";"";"";"";"";"";"";"-2.2";"";"";"";"";"";"";
"23.06.2019 05:00";"-1.5";"756.6";"771.7";"0.2";"91";"Calm, no wind";"0";"";"";"";" ";"";"";"";"";"";"";"";"";"";"";"-2.8";"";"";"";"";"";"";
"23.06.2019 03:00";"-0.1";"756.5";"771.7";"0.2";"92";"Calm, no wind";"0";"";"";"";" ";"";"";"";"";"";"";"";"";"";"";"-1.2";"No precipitation";"6";"";"";"";"";
"23.06.2019 02:00";"-0.1";"756.4";"771.5";"0.1";"91";"Calm, no wind";"0";"";"";"";" ";"";"";"";"";"";"";"";"";"";"";"-1.4";"";"";"";"";"";"";
"23.06.2019 00:00";"0.4";"756.3";"771.4";"-0.1";"90";"Wind blowing from the north-northwest";"2";"";"";"";" ";"";"";"";"12.0";"";"";"";"";"";"";"-1.0";"";"";"";"";"";"";
"22.06.2019 23:00";"1.2";"756.3";"771.4";"0.0";"90";"Calm, no wind";"0";"";"";"";" ";"";"";"";"";"";"";"";"";"";"";"-0.3";"";"";"";"";"";"";
"22.06.2019 21:00";"1.9";"756.4";"771.5";"0.1";"87";"Calm, no wind";"0";"";"";"";" ";"";"";"";"";"";"";"";"";"";"";"0.0";"No precipitation";"6";"";"";"";"";
"22.06.2019 20:00";"2.9";"756.3";"771.4";"0.2";"86";"Calm, no wind";"0";"";"";"";" ";"";"";"";"";"";"";"";"";"";"";"0.8";"";"";"";"";"";"";
"22.06.2019 18:00";"6.2";"756.3";"771.4";"0.4";"72";"Wind blowing from the north-west";"2";"";"";"";" ";"";"";"";"";"";"";"";"";"";"";"1.5";"";"";"";"";"";"";
"22.06.2019 17:00";"8.1";"756.1";"771.2";"0.2";"65";"Wind blowing from the west";"3";"";"";"";" ";"";"";"";"";"";"";"";"";"";"";"1.9";"";"";"";"";"";"";
"22.06.2019 15:00";"11.8";"755.9";"771.1";"-1.1";"53";"Wind blowing from the south-southwest";"3";"";"";"";" ";"";"";"";"";"";"";"";"";"";"";"2.5";"No precipitation";"6";"";"";"";"";
"22.06.2019 14:00";"10.8";"755.9";"771.1";"-1.7";"59";"Wind blowing from the south";"2";"";"";"";" ";"";"";"";"";"";"";"";"";"";"";"3.1";"";"";"";"";"";"";
"22.06.2019 12:00";"7.0";"757.0";"772.1";"-0.9";"78";"Wind blowing from the east-southeast";"1";"";"";"";" ";"";"";"0.2";"";"";"";"";"";"";"";"3.4";"";"";"";"";"";"";
"22.06.2019 11:00";"4.4";"757.6";"772.8";"0.0";"93";"Wind blowing from the east-northeast";"1";"";"";"";" ";"";"";"";"";"";"";"";"";"";"";"3.4";"";"";"";"";"";"";
