# Weather station Launceston (airport), Australia, WMO_ID=95966,selection from 01.01.2018 till 30.06.2019, all days
# Encoding: UTF-8
# The data is provided by the website "Reliable Prognosis", rp5.ru
# If you use the data, please indicate the name of the website.
# For meteorological parameters see the address http://rp5.ru/archive.php?wmo_id=95966&lang=en
#
"Local time in Launceston (airport)";"T";"Po";"P";"Pa";"U";"DD";"Ff";"ff10";"ff3";"N";"WW";"W1";"W2";"Tn";"Tx";"Cl";"Nh";"H";"Cm";"Ch";"VV";"Td";"RRR";"tR";"E";"Tg";"E'";"sss"
"29.06.2019 15:00";"12.0";"742.3";"757.6";"-3.1";"89";"Wind blowing from the north";"4";"";"";"100%.";"Rain, not freezing, slight. ";"Precipitation";"Precipitation";"";"";"";"";"1500-2000";"";"";"";"10.2";"3.0";"6";"";"";"";"";
"29.06.2019 14:00";"12.6";"743.5";"758.8";"-2.7";"82";"Wind blowing from the north";"5";"";"";"";" ";"";"";"";"";"";"";"";"";"";"";"9.6";"";"";"";"";"";"";
"29.06.2019 13:00";"13.7";"744.1";"759.4";"-3.0";"82";"Wind blowing from the north";"5";"";"";"";" ";"";"";"";"";"";"";"";"";"";"";"10.7";"";"";"";"";"";"";
"29.06.2019 12:00";"13.1";"745.4";"760.8";"-2.1";"84";"Wind blowing from the north";"6";"";"";"90  or more, but not 100%";"Rain shower(s) or intermittent rain, slight. ";"";"Precipitation";"8.3";"";"";"";"1000-1500";"";"";"";"10.5";"";"";"";"";"";"";
"29.06.2019 11:00";"12.9";"746.2";"761.6";"-1.4";"87";"Wind blowing from the north";"3";"";"";"";" ";"";"";"";"";"";"";"";"";"";"";"10.8";"";"";"";"";"";"";
"29.06.2019 10:00";"12.9";"747.1";"762.4";"-0.6";"83";"Wind blowing from the north";"6";"";"";"";" ";"";"";"";"";"";"";"";"";"";"";"10.1";"";"";"";"";"";"";
"29.06.2019 09:00";"11.8";"747.5";"762.9";"-0.2";"93";"Wind blowing from the north";"4";"";"";"100%.";"Rain, not freezing, moderate. ";"Precipitation";"Precipitation";"";"";"";"";"600-1000";"";"";"";"10.7";"10.0";"24";"";"";"";"";
"29.06.2019 08:00";"11.4";"747.6";"763.0";"-0.6";"95";"Wind blowing from the north";"5";"";"";"";" ";"";"";"";"";"";"";"";"";"";"";"10.6";"";"";"";"";"";"";
"29.06.2019 07:00";"10.6";"747.7";"763.1";"-0.7";"93";"Wind blowing from the north";"3";"";"";"";" ";"";"";"";"";"";"";"";"";"";"";"9.5";"";"";"";"";"";"";
"29.06.2019 06:00";"10.9";"747.7";"763.1";"-1.2";"96";"Wind blowing from the north";"4";"";"";"100%.";"Rain shower(s) or intermittent rain, slight. ";"";"Precipitation";"";"";"";"";"1000-1500";"";"";"";"10.3";"";"";"";"";"";"";
"29.06.2019 05:00";"10.8";"748.2";"763.6";"-1.2";"96";"Wind blowing from the north";"3";"";"";"";" ";"";"";"";"";"";"";"";"";"";"";"10.2";"";"";"";"";"";"";
"29.06.2019 04:00";"11.0";"748.4";"763.9";"-1.3";"95";"Wind blowing from the north";"3";"";"";"";" ";"";"";"";"";"";"";"";"";"";"";"10.2";"";"";"";"";"";"";
"29.06.2019 03:00";"10.5";"748.9";"764.3";"-1.1";"94";"Wind blowing from the north";"3";"";"";"90  or more, but not 100%";"Rain shower(s) or intermittent rain, slight. ";"Precipitation";"Precipitation";"";"";"";"";"1000-1500";"";"";"";"9.6";"3.0";"6";"";"";"";"";
"29.06.2019 02:00";"11.0";"749.4";"764.8";"-0.4";"91";"Wind blowing from the north";"3";"";"";"";" ";"";"";"";"";"";"";"";"";"";"";"9.6";"";"";"";"";"";"";
"29.06.2019 01:00";"11.3";"749.7";"765.1";"-0.4";"83";"Wind blowing from the north-northeast";"3";"";"";"";" ";"";"";"";"";"";"";"";"";"";"";"8.5";"";"";"";"";"";"";
"29.06.2019 00:00";"11.3";"750.0";"765.4";"-0.4";"77";"Wind blowing from the west-northwest";"2";"";"";"100%.";"Rain shower(s) or intermittent rain, slight. ";"";"";"";"15.7";"";"";"1000-1500";"";"";"";"7.4";"";"";"";"";"";"";
"28.06.2019 23:00";"10.7";"749.8";"765.3";"-0.9";"78";"Wind blowing from the north";"5";"";"";"";" ";"";"";"";"";"";"";"";"";"";"";"7.0";"";"";"";"";"";"";
"28.06.2019 22:00";"9.2";"750.1";"765.5";"-0.7";"81";"Wind blowing from the north";"4";"";"";"";" ";"";"";"";"";"";"";"";"";"";"";"6.1";"";"";"";"";"";"";
"28.06.2019 21:00";"9.0";"750.4";"765.9";"-0.5";"88";"Wind blowing from the north";"5";"";"";"";"No significant weather observed. ";"";"";"";"";"";"";"";"";"";"";"7.1";"No precipitation";"6";"";"";"";"";
"28.06.2019 20:00";"10.8";"750.7";"766.1";"-0.1";"81";"Wind blowing from the north";"6";"";"";"";" ";"";"";"";"";"";"";"";"";"";"";"7.7";"";"";"";"";"";"";
"28.06.2019 19:00";"10.9";"750.8";"766.3";"-0.1";"81";"Wind blowing from the north";"6";"";"";"";" ";"";"";"";"";"";"";"";"";"";"";"7.8";"";"";"";"";"";"";
"28.06.2019 18:00";"11.4";"750.9";"766.3";"-0.1";"81";"Wind blowing from the north";"6";"";"";"100%.";"No significant weather observed. ";"";"";"";"";"";"";"2500 or more, or no clouds.";"";"";"";"8.3";"";"";"";"";"";"";
"28.06.2019 17:00";"12.3";"750.8";"766.3";"-0.3";"78";"Wind blowing from the north";"7";"";"";"";" ";"";"";"";"";"";"";"";"";"";"";"8.6";"";"";"";"";"";"";
"28.06.2019 16:00";"13.3";"750.9";"766.3";"-1.1";"73";"Wind blowing from the north";"7";"";"";"";" ";"";"";"";"";"";"";"";"";"";"";"8.6";"";"";"";"";"";"";
"28.06.2019 15:00";"14.4";"751.0";"766.4";"-1.6";"70";"Wind blowing from the north";"9";"";"";"100%.";"No significant weather observed. ";"";"";"";"";"";"";"600-1000";"";"";"";"9.0";"No precipitation";"6";"";"";"";"";
"28.06.2019 14:00";"14.4";"751.1";"766.6";"-2.2";"67";"Wind blowing from the north";"8";"";"";"";" ";"";"";"";"";"";"";"";"";"";"";"8.4";"";"";"";"";"";"";
"28.06.2019 13:00";"14.7";"752.0";"767.5";"-1.8";"70";"Wind blowing from the north-northwest";"7";"";"";"";" ";"";"";"";"";"";"";"";"";"";"";"9.3";"";"";"";"";"";"";
"28.06.2019 12:00";"14.4";"752.6";"768.1";"-1.5";"71";"Wind blowing from the north";"8";"";"";"100%.";"No significant weather observed. ";"";"";"3.3";"";"";"";"2500 or more, or no clouds.";"";"";"";"9.2";"";"";"";"";"";"";
"28.06.2019 11:00";"13.7";"753.3";"768.8";"-0.8";"73";"Wind blowing from the north-northwest";"8";"";"";"";" ";"";"";"";"";"";"";"";"";"";"";"9.0";"";"";"";"";"";"";
"28.06.2019 10:00";"11.9";"753.8";"769.3";"-0.3";"78";"Wind blowing from the north";"6";"";"";"";" ";"";"";"";"";"";"";"";"";"";"";"8.2";"";"";"";"";"";"";
"28.06.2019 09:00";"8.5";"754.1";"769.6";"0.2";"92";"Wind blowing from the north-northwest";"5";"";"";"10%  or less, but not 0";"No significant weather observed. ";"Precipitation";"Precipitation";"";"";"";"";"2500 or more, or no clouds.";"";"";"";"7.3";"0.2";"24";"";"";"";"";
"28.06.2019 08:00";"5.1";"754.1";"769.6";"-0.1";"98";"Wind blowing from the north-northwest";"5";"";"";"";" ";"";"";"";"";"";"";"";"";"";"";"4.8";"";"";"";"";"";"";
"28.06.2019 07:00";"4.2";"754.1";"769.6";"-0.1";"91";"Wind blowing from the north";"4";"";"";"";" ";"";"";"";"";"";"";"";"";"";"";"2.9";"";"";"";"";"";"";
"28.06.2019 06:00";"4.4";"753.9";"769.4";"-0.7";"94";"Wind blowing from the north";"4";"";"";"40%.";"No significant weather observed. ";"";"";"";"";"";"";"2500 or more, or no clouds.";"";"";"";"3.5";"";"";"";"";"";"";
"28.06.2019 05:00";"6.9";"754.2";"769.7";"-0.7";"89";"Wind blowing from the north-west";"6";"";"";"";" ";"";"";"";"";"";"";"";"";"";"";"5.2";"";"";"";"";"";"";
"28.06.2019 04:00";"7.1";"754.2";"769.7";"-0.7";"89";"Wind blowing from the north-northwest";"5";"";"";"";" ";"";"";"";"";"";"";"";"";"";"";"5.4";"";"";"";"";"";"";
"28.06.2019 03:00";"7.9";"754.6";"770.2";"-0.9";"83";"Wind blowing from the north-west";"6";"";"";"40%.";"No significant weather observed. ";"";"";"";"";"";"";"2500 or more, or no clouds.";"";"";"";"5.2";"No precipitation";"6";"";"";"";"";
"28.06.2019 02:00";"6.4";"754.9";"770.5";"-1.1";"85";"Wind blowing from the north";"4";"";"";"";" ";"";"";"";"";"";"";"";"";"";"";"4.1";"";"";"";"";"";"";
"28.06.2019 01:00";"7.2";"754.9";"770.5";"-1.2";"87";"Wind blowing from the north";"4";"";"";"";" ";"";"";"";"";"";"";"";"";"";"";"5.2";"";"";"";"";"";"";
"28.06.2019 00:00";"7.7";"755.5";"771.0";"-0.7";"95";"Wind blowing from the north-northwest";"4";"";"";"";"No significant weather observed. ";"";"";"";"12.8";"";"";"";"";"";"";"7.0";"";"";"";"";"";"";
"27.06.2019 23:00";"7.3";"756.0";"771.6";"-0.3";"96";"Wind blowing from the north";"5";"";"";"";" ";"";"";"";"";"";"";"";"";"";"";"6.7";"";"";"";"";"";"";
"27.06.2019 22:00";"7.9";"756.1";"771.7";"-0.1";"92";"Wind blowing from the north";"5";"";"";"";" ";"";"";"";"";"";"";"";"";"";"";"6.7";"";"";"";"";"";"";
"27.06.2019 21:00";"8.3";"756.2";"771.8";"0.0";"92";"Wind blowing from the north-northwest";"5";"";"";"";"No significant weather observed. ";"";"";"";"";"";"";"";"";"";"";"7.1";"No precipitation";"6";"";"";"";"";
"27.06.2019 20:00";"7.7";"756.3";"771.9";"0.0";"91";"Wind blowing from the north-northwest";"5";"";"";"";" ";"";"";"";"";"";"";"";"";"";"";"6.3";"";"";"";"";"";"";
"27.06.2019 19:00";"8.5";"756.2";"771.8";"-0.2";"88";"Wind blowing from the north-northwest";"5";"";"";"";" ";"";"";"";"";"";"";"";"";"";"";"6.6";"";"";"";"";"";"";
"27.06.2019 18:00";"8.7";"756.2";"771.8";"-0.1";"88";"Wind blowing from the north";"5";"";"";"";"No significant weather observed. ";"";"";"";"";"";"";"";"";"";"";"6.8";"";"";"";"";"";"";
"27.06.2019 17:00";"10.1";"756.3";"771.9";"-0.4";"83";"Wind blowing from the north";"5";"";"";"";" ";"";"";"";"";"";"";"";"";"";"";"7.3";"";"";"";"";"";"";
"27.06.2019 16:00";"12.0";"756.4";"772.0";"-1.0";"76";"Wind blowing from the north";"4";"";"";"";" ";"";"";"";"";"";"";"";"";"";"";"7.9";"";"";"";"";"";"";
"27.06.2019 15:00";"11.7";"756.3";"771.9";"-1.9";"77";"Wind blowing from the north-northwest";"5";"";"";"100%.";"No significant weather observed. ";"";"";"";"";"";"";"600-1000";"";"";"";"7.8";"No precipitation";"6";"";"";"";"";
"27.06.2019 14:00";"11.9";"756.7";"772.3";"-2.4";"76";"Wind blowing from the north";"5";"";"";"";" ";"";"";"";"";"";"";"";"";"";"";"7.8";"";"";"";"";"";"";
"27.06.2019 13:00";"12.1";"757.4";"773.0";"-2.1";"72";"Wind blowing from the north";"4";"";"";"";" ";"";"";"";"";"";"";"";"";"";"";"7.2";"";"";"";"";"";"";
"27.06.2019 12:00";"11.6";"758.2";"773.8";"-1.2";"77";"Wind blowing from the north-west";"4";"";"";"";"No significant weather observed. ";"";"";"1.2";"";"";"";"";"";"";"";"7.7";"";"";"";"";"";"";
"27.06.2019 11:00";"9.1";"759.1";"774.7";"-0.1";"77";"Wind blowing from the north-northeast";"3";"";"";"";" ";"";"";"";"";"";"";"";"";"";"";"5.3";"";"";"";"";"";"";
"27.06.2019 10:00";"6.4";"759.5";"775.2";"0.1";"80";"Wind blowing from the north-west";"2";"";"";"";" ";"";"";"";"";"";"";"";"";"";"";"3.2";"";"";"";"";"";"";
"27.06.2019 09:00";"4.5";"759.4";"775.1";"0.2";"95";"Wind blowing from the south-east";"1";"";"";"100%.";"No significant weather observed. ";"";"";"";"";"";"";"300-600";"";"";"";"3.8";"No precipitation";"24";"";"";"";"";
"27.06.2019 08:00";"2.5";"759.2";"774.8";"0.1";"98";"Wind blowing from the east";"1";"";"";"";" ";"";"";"";"";"";"";"";"";"";"";"2.2";"";"";"";"";"";"";
"27.06.2019 07:00";"2.4";"759.4";"775.0";"0.6";"99";"Wind blowing from the west";"2";"";"";"";" ";"";"";"";"";"";"";"";"";"";"";"2.3";"";"";"";"";"";"";
"27.06.2019 06:00";"2.0";"759.2";"774.8";"0.1";"99";"Wind blowing from the north";"2";"";"";"50%.";" ";"";"";"";"";"";"";"100-200";"";"";"2.5";"1.9";"";"";"";"";"";"";
"27.06.2019 05:00";"3.7";"759.1";"774.7";"-0.2";"99";"Wind blowing from the north-west";"2";"";"";"";" ";"";"";"";"";"";"";"";"";"";"";"3.6";"";"";"";"";"";"";
"27.06.2019 04:00";"2.8";"758.8";"774.4";"-0.4";"99";"Calm, no wind";"0";"";"";"";" ";"";"";"";"";"";"";"";"";"";"";"2.7";"";"";"";"";"";"";
"27.06.2019 03:00";"2.2";"759.1";"774.7";"-0.6";"98";"Calm, no wind";"0";"";"";"100%.";" ";"";"";"";"";"";"";"Less than  50";"";"";"0.5";"1.9";"No precipitation";"6";"";"";"";"";
"27.06.2019 02:00";"3.9";"759.3";"774.9";"-0.6";"97";"Calm, no wind";"0";"";"";"";" ";"";"";"";"";"";"";"";"";"";"";"3.5";"";"";"";"";"";"";
"27.06.2019 01:00";"4.3";"759.2";"774.8";"-0.8";"97";"Wind blowing from the north";"2";"";"";"";" ";"";"";"";"";"";"";"";"";"";"";"3.9";"";"";"";"";"";"";
"27.06.2019 00:00";"3.7";"759.7";"775.3";"-0.4";"98";"Wind blowing from the north";"2";"";"";"100%.";"No significant weather observed. ";"";"";"";"13.7";"";"";"50-100";"";"";"";"3.4";"";"";"";"";"";"";
"26.06.2019 23:00";"4.1";"759.9";"775.6";"-0.2";"98";"Wind blowing from the north-northwest";"2";"";"";"";" ";"";"";"";"";"";"";"";"";"";"";"3.8";"";"";"";"";"";"";
"26.06.2019 22:00";"5.0";"760.0";"775.6";"0.0";"97";"Calm, no wind";"0";"";"";"";" ";"";"";"";"";"";"";"";"";"";"";"4.6";"";"";"";"";"";"";
"26.06.2019 21:00";"5.6";"760.1";"775.8";"0.3";"97";"Wind blowing from the north-west";"2";"";"";"";" ";"";"";"";"";"";"";"";"";"";"7.0";"5.2";"No precipitation";"6";"";"";"";"";
"26.06.2019 20:00";"5.9";"760.1";"775.8";"0.5";"96";"Wind blowing from the north";"3";"";"";"";" ";"";"";"";"";"";"";"";"";"";"";"5.3";"";"";"";"";"";"";
"26.06.2019 19:00";"5.7";"760.0";"775.6";"0.3";"94";"Wind blowing from the north-northwest";"4";"";"";"";" ";"";"";"";"";"";"";"";"";"";"";"4.8";"";"";"";"";"";"";
"26.06.2019 18:00";"6.3";"759.8";"775.5";"-0.1";"86";"Wind blowing from the north-northwest";"4";"";"";"";"No significant weather observed. ";"";"";"";"";"";"";"";"";"";"";"4.1";"";"";"";"";"";"";
"26.06.2019 17:00";"8.2";"759.6";"775.3";"-0.4";"80";"Wind blowing from the north-west";"4";"";"";"";" ";"";"";"";"";"";"";"";"";"";"";"5.0";"";"";"";"";"";"";
"26.06.2019 16:00";"10.4";"759.7";"775.4";"-0.8";"77";"Wind blowing from the north-northwest";"3";"";"";"";" ";"";"";"";"";"";"";"";"";"";"";"6.5";"";"";"";"";"";"";
"26.06.2019 15:00";"12.7";"759.9";"775.6";"-1.0";"69";"Wind blowing from the north-northwest";"4";"";"";"10%  or less, but not 0";"No significant weather observed. ";"";"";"";"";"";"";"600-1000";"";"";"";"7.0";"No precipitation";"6";"";"";"";"";
"26.06.2019 14:00";"13.1";"760.0";"775.7";"-1.5";"66";"Wind blowing from the north";"5";"";"";"";" ";"";"";"";"";"";"";"";"";"";"";"6.9";"";"";"";"";"";"";
"26.06.2019 13:00";"12.9";"760.5";"776.2";"-1.1";"68";"Wind blowing from the north";"4";"";"";"";" ";"";"";"";"";"";"";"";"";"";"";"7.1";"";"";"";"";"";"";
"26.06.2019 12:00";"12.0";"760.9";"776.6";"-0.6";"75";"Wind blowing from the north";"3";"";"";"";"No significant weather observed. ";"";"";"1.8";"";"";"";"";"";"";"";"7.7";"";"";"";"";"";"";
"26.06.2019 11:00";"9.4";"761.5";"777.1";"0.1";"84";"Wind blowing from the east";"2";"";"";"";" ";"";"";"";"";"";"";"";"";"";"";"6.8";"";"";"";"";"";"";
"26.06.2019 10:00";"8.1";"761.6";"777.3";"0.6";"87";"Calm, no wind";"0";"";"";"";" ";"";"";"";"";"";"";"";"";"";"";"6.1";"";"";"";"";"";"";
"26.06.2019 09:00";"5.8";"761.5";"777.2";"0.9";"99";"Calm, no wind";"0";"";"";"";" ";"";"";"";"";"";"";"";"";"";"1.0";"5.7";"0.2";"24";"";"";"";"";
"26.06.2019 08:00";"3.8";"761.4";"777.1";"1.1";"98";"Wind blowing from the east-northeast";"2";"";"";"";" ";"";"";"";"";"";"";"";"";"";"";"3.5";"";"";"";"";"";"";
"26.06.2019 07:00";"4.5";"761.0";"776.7";"0.7";"98";"Wind blowing from the north-west";"2";"";"";"";" ";"";"";"";"";"";"";"";"";"";"";"4.2";"";"";"";"";"";"";
"26.06.2019 06:00";"3.5";"760.6";"776.3";"0.2";"98";"Wind blowing from the north";"1";"";"";"";" ";"";"";"";"";"";"";"";"";"";"0.5";"3.2";"";"";"";"";"";"";
"26.06.2019 05:00";"2.2";"760.3";"776.0";"-0.3";"94";"Wind blowing from the north";"3";"";"";"";" ";"";"";"";"";"";"";"";"";"";"";"1.3";"";"";"";"";"";"";
"26.06.2019 04:00";"3.9";"760.3";"775.9";"-0.3";"96";"Wind blowing from the north-northwest";"3";"";"";"";" ";"";"";"";"";"";"";"";"";"";"";"3.3";"";"";"";"";"";"";
"26.06.2019 03:00";"3.8";"760.4";"776.1";"-0.2";"91";"Wind blowing from the north-west";"3";"";"";"";"No significant weather observed. ";"";"";"";"";"";"";"";"";"";"";"2.5";"No precipitation";"6";"";"";"";"";
"26.06.2019 02:00";"6.4";"760.6";"776.2";"-0.2";"92";"Calm, no wind";"0";"";"";"";" ";"";"";"";"";"";"";"";"";"";"";"5.2";"";"";"";"";"";"";
"26.06.2019 01:00";"6.2";"760.6";"776.2";"0.0";"92";"Wind blowing from the north-west";"1";"";"";"";" ";"";"";"";"";"";"";"";"";"";"";"5.0";"";"";"";"";"";"";
"26.06.2019 00:00";"5.6";"760.6";"776.3";"0.3";"94";"Wind blowing from the north-northwest";"3";"";"";"100%.";"No significant weather observed. ";"";"";"";"12.3";"";"";"600-1000";"";"";"";"4.7";"";"";"";"";"";"";
"25.06.2019 23:00";"5.1";"760.8";"776.5";"0.5";"91";"Wind blowing from the north";"3";"";"";"";" ";"";"";"";"";"";"";"";"";"";"";"3.8";"";"";"";"";"";"";
"25.06.2019 22:00";"6.0";"760.6";"776.3";"0.5";"94";"Wind blowing from the north-northwest";"3";"";"";"";" ";"";"";"";"";"";"";"";"";"";"";"5.1";"";"";"";"";"";"";
"25.06.2019 21:00";"3.9";"760.3";"776.0";"0.2";"93";"Wind blowing from the north-northwest";"4";"";"";"60%.";"No significant weather observed. ";"";"";"";"";"";"";"2500 or more, or no clouds.";"";"";"";"2.9";"No precipitation";"6";"";"";"";"";
"25.06.2019 20:00";"6.3";"760.3";"776.0";"0.3";"89";"Wind blowing from the north-northwest";"3";"";"";"";" ";"";"";"";"";"";"";"";"";"";"";"4.6";"";"";"";"";"";"";
"25.06.2019 19:00";"6.7";"760.1";"775.8";"0.3";"89";"Wind blowing from the north";"4";"";"";"";" ";"";"";"";"";"";"";"";"";"";"";"5.0";"";"";"";"";"";"";
"25.06.2019 18:00";"7.0";"760.1";"775.8";"0.4";"86";"Wind blowing from the north";"3";"";"";"100%.";"No significant weather observed. ";"";"";"";"";"";"";"2500 or more, or no clouds.";"";"";"";"4.8";"";"";"";"";"";"";
"25.06.2019 17:00";"7.6";"760.0";"775.7";"0.4";"82";"Wind blowing from the north-northwest";"3";"";"";"";" ";"";"";"";"";"";"";"";"";"";"";"4.6";"";"";"";"";"";"";
